Hora,pCLow@2,pCLow@3,pCLow@4,pCLow@5,pCLow@6,pCLow@7,pCLow@8,pCLow@9,qCLow@2,qCLow@3,qCLow@4,qCLow@5,qCLow@6,qCLow@7,qCLow@8,qCLow@9
00:00,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
00:15,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
00:30,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
00:45,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
01:00,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
01:15,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
01:30,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
01:45,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
02:00,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
02:15,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
02:30,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
02:45,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
03:00,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
03:15,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
03:30,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
03:45,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
04:00,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
04:15,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
04:30,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
04:45,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
05:00,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
05:15,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
05:30,0.0588,0.0594,0.0582,0.0588,0.096,0.0594,0.057,0.0582,0.0119,0.0085,0.0146,0.0119,0.072,0.0085,0.0187,0.0146
