Hora,pCLow@2,pCLow@3,pCLow@4,pCLow@5,pCLow@6,pCLow@7,pCLow@8,pCLow@9,qCLow@2,qCLow@3,qCLow@4,qCLow@5,qCLow@6,qCLow@7,qCLow@8,qCLow@9
00:00,0.02280264,0.02303532,0.02256996,0.02280264,0.0372288,0.02303532,0.0221046,0.02256996,0.00461482,0.0032963,0.00566188,0.00461482,0.0279216,0.0032963,0.00725186,0.00566188
00:15,0.01922172,0.01941786,0.01902558,0.01922172,0.0313824,0.01941786,0.0186333,0.01902558,0.00389011,0.00277865,0.00477274,0.00389011,0.0235368,0.00277865,0.00611303,0.00477274
00:30,0.01903356,0.01922778,0.01883934,0.01903356,0.0310752,0.01922778,0.0184509,0.01883934,0.00385203,0.00275145,0.00472602,0.00385203,0.0233064,0.00275145,0.00605319,0.00472602
00:45,0.01338288,0.01351944,0.01324632,0.01338288,0.0218496,0.01351944,0.0129732,0.01324632,0.00270844,0.0019346,0.00332296,0.00270844,0.0163872,0.0019346,0.00425612,0.00332296
01:00,0.0124362,0.0125631,0.0123093,0.0124362,0.020304,0.0125631,0.0120555,0.0123093,0.00251685,0.00179775,0.0030879,0.00251685,0.015228,0.00179775,0.00395505,0.0030879
01:15,0.0114954,0.0116127,0.0113781,0.0114954,0.018768,0.0116127,0.0111435,0.0113781,0.00232645,0.00166175,0.0028543,0.00232645,0.014076,0.00166175,0.00365585,0.0028543
01:30,0.00716184,0.00723492,0.00708876,0.00716184,0.0116928,0.00723492,0.0069426,0.00708876,0.00144942,0.0010353,0.00177828,0.00144942,0.0087696,0.0010353,0.00227766,0.00177828
01:45,0.00772632,0.00780516,0.00764748,0.00772632,0.0126144,0.00780516,0.0074898,0.00764748,0.00156366,0.0011169,0.00191844,0.00156366,0.0094608,0.0011169,0.00245718,0.00191844
02:00,0.00546252,0.00551826,0.00540678,0.00546252,0.0089184,0.00551826,0.0052953,0.00540678,0.00110551,0.00078965,0.00135634,0.00110551,0.0066888,0.00078965,0.00173723,0.00135634
02:15,0.00245196,0.00247698,0.00242694,0.00245196,0.0040032,0.00247698,0.0023769,0.00242694,0.00049623,0.00035445,0.00060882,0.00049623,0.0030024,0.00035445,0.00077979,0.00060882
02:30,0.0022638,0.0022869,0.0022407,0.0022638,0.003696,0.0022869,0.0021945,0.0022407,0.00045815,0.00032725,0.0005621,0.00045815,0.002772,0.00032725,0.00071995,0.0005621
02:45,0.00264012,0.00266706,0.00261318,0.00264012,0.0043104,0.00266706,0.0025593,0.00261318,0.00053431,0.00038165,0.00065554,0.00053431,0.0032328,0.00038165,0.00083963,0.00065554
03:00,0.00150528,0.00152064,0.00148992,0.00150528,0.0024576,0.00152064,0.0014592,0.00148992,0.00030464,0.0002176,0.00037376,0.00030464,0.0018432,0.0002176,0.00047872,0.00037376
03:15,0.00169344,0.00171072,0.00167616,0.00169344,0.0027648,0.00171072,0.0016416,0.00167616,0.00034272,0.0002448,0.00042048,0.00034272,0.0020736,0.0002448,0.00053856,0.00042048
03:30,0.00075264,0.00076032,0.00074496,0.00075264,0.0012288,0.00076032,0.0007296,0.00074496,0.00015232,0.0001088,0.00018688,0.00015232,0.0009216,0.0001088,0.00023936,0.00018688
03:45,0.000588,0.000594,0.000582,0.000588,0.00096,0.000594,0.00057,0.000582,0.000119,0.000085,0.000146,0.000119,0.00072,0.000085,0.000187,0.000146
04:00,0.0009408,0.0009504,0.0009312,0.0009408,0.001536,0.0009504,0.000912,0.0009312,0.0001904,0.000136,0.0002336,0.0001904,0.001152,0.000136,0.0002992,0.0002336
04:15,0.00150528,0.00152064,0.00148992,0.00150528,0.0024576,0.00152064,0.0014592,0.00148992,0.00030464,0.0002176,0.00037376,0.00030464,0.0018432,0.0002176,0.00047872,0.00037376
04:30,0.00056448,0.00057024,0.00055872,0.00056448,0.0009216,0.00057024,0.0005472,0.00055872,0.00011424,0.0000816,0.00014016,0.00011424,0.0006912,0.0000816,0.00017952,0.00014016
04:45,0.00112896,0.00114048,0.00111744,0.00112896,0.0018432,0.00114048,0.0010944,0.00111744,0.00022848,0.0001632,0.00028032,0.00022848,0.0013824,0.0001632,0.00035904,0.00028032
05:00,0.0009408,0.0009504,0.0009312,0.0009408,0.001536,0.0009504,0.000912,0.0009312,0.0001904,0.000136,0.0002336,0.0001904,0.001152,0.000136,0.0002992,0.0002336
05:15,0.00452172,0.00456786,0.00447558,0.00452172,0.0073824,0.00456786,0.0043833,0.00447558,0.00091511,0.00065365,0.00112274,0.00091511,0.0055368,0.00065365,0.00143803,0.00112274
05:30,0.00358092,0.00361746,0.00354438,0.00358092,0.0058464,0.00361746,0.0034713,0.00354438,0.00072471,0.00051765,0.00088914,0.00072471,0.0043848,0.00051765,0.00113883,0.00088914
05:45,0.00603288,0.00609444,0.00597132,0.00603288,0.0098496,0.00609444,0.0058482,0.00597132,0.00122094,0.0008721,0.00149796,0.00122094,0.0073872,0.0008721,0.00191862,0.00149796
06:00,0.00565656,0.00571428,0.00559884,0.00565656,0.0092352,0.00571428,0.0054834,0.00559884,0.00114478,0.0008177,0.00140452,0.00114478,0.0069264,0.0008177,0.00179894,0.00140452
06:15,0.00866712,0.00875556,0.00857868,0.00866712,0.0141504,0.00875556,0.0084018,0.00857868,0.00175406,0.0012529,0.00215204,0.00175406,0.0106128,0.0012529,0.00275638,0.00215204
06:30,0.01997436,0.02017818,0.01977054,0.01997436,0.0326112,0.02017818,0.0193629,0.01977054,0.00404243,0.00288745,0.00495962,0.00404243,0.0244584,0.00288745,0.00635239,0.00495962
06:45,0.0211092,0.0213246,0.0208938,0.0211092,0.034464,0.0213246,0.020463,0.0208938,0.0042721,0.0030515,0.0052414,0.0042721,0.025848,0.0030515,0.0067133,0.0052414
07:00,0.02129736,0.02151468,0.02108004,0.02129736,0.0347712,0.02151468,0.0206454,0.02108004,0.00431018,0.0030787,0.00528812,0.00431018,0.0260784,0.0030787,0.00677314,0.00528812
07:15,0.02450196,0.02475198,0.02425194,0.02450196,0.0400032,0.02475198,0.0237519,0.02425194,0.00495873,0.00354195,0.00608382,0.00495873,0.0300024,0.00354195,0.00779229,0.00608382
07:30,0.0261954,0.0264627,0.0259281,0.0261954,0.042768,0.0264627,0.0253935,0.0259281,0.00530145,0.00378675,0.0065043,0.00530145,0.032076,0.00378675,0.00833085,0.0065043
07:45,0.02563092,0.02589246,0.02536938,0.02563092,0.0418464,0.02589246,0.0248463,0.02536938,0.00518721,0.00370515,0.00636414,0.00518721,0.0313848,0.00370515,0.00815133,0.00636414
08:00,0.0284592,0.0287496,0.0281688,0.0284592,0.046464,0.0287496,0.027588,0.0281688,0.0057596,0.004114,0.0070664,0.0057596,0.034848,0.004114,0.0090508,0.0070664
08:15,0.03222828,0.03255714,0.03189942,0.03222828,0.0526176,0.03255714,0.0312417,0.03189942,0.00652239,0.00465885,0.00800226,0.00652239,0.0394632,0.00465885,0.01024947,0.00800226
