Hora,m@all,delta@all,cdv@all
00:00,5,0.1236,1
00:15,5,0.1236,1
00:30,5,0.1236,1
00:45,5,0.1236,1
01:00,5,0.1236,1
01:15,5,0.1236,1
01:30,5,0.1236,1
01:45,5,0.1236,1
02:00,5,0.1236,1
02:15,5,0.1236,1
02:30,5,0.1236,1
02:45,5,0.1236,1
03:00,5,0.1236,1
03:15,5,0.1236,1
03:30,5,0.1236,1
03:45,5,0.1236,1
04:00,5,0.1236,1
04:15,5,0.1236,1
04:30,5,0.1236,1
04:45,5,0.1236,1
05:00,5,0.1236,1
05:15,5,0.1236,1
05:30,5,0.1236,1
05:45,5,0.1236,1
06:00,5,0.1236,1
06:15,5,0.1236,1
06:30,5,0.1236,1
06:45,5,0.1236,1
07:00,5,0.1236,1
07:15,5,0.1236,1
07:30,5,0.1236,1
07:45,5,0.1236,1
08:00,5,0.1236,1
08:15,5,0.1236,1
08:30,5,0.1236,1
08:45,5,0.1236,1
09:00,5,0.1236,1
09:15,5,0.1236,1
09:30,5,0.1236,1
09:45,5,0.1236,1
10:00,5,0.1236,1
10:15,5,0.1236,1
10:30,5,0.1236,1
10:45,5,0.1236,1
11:00,5,0.1236,1
11:15,5,0.1236,1
11:30,5,0.1236,1
11:45,5,0.1236,1
12:00,5,0.1236,1
12:15,5,0.1236,1
12:30,5,0.1236,1
12:45,5,0.1236,1
13:00,5,0.1236,1
13:15,5,0.1236,1
13:30,5,0.1236,1
13:45,5,0.1236,1
14:00,5,0.1236,1
14:15,5,0.1236,1
14:30,5,0.1236,1
14:45,5,0.1236,1
15:00,5,0.1236,1
15:15,5,0.1236,1
15:30,5,0.1236,1
15:45,5,0.1236,1
16:00,5,0.1236,1
16:15,5,0.1236,1
16:30,5,0.1236,1
16:45,5,0.1236,1
17:00,5,0.1236,1
17:15,5,0.1236,1
17:30,5,0.1236,1
17:45,5,0.1236,1
18:00,5,0.1236,1
18:15,5,0.1236,1
18:30,5,0.1236,1
18:45,5,0.1236,1
19:00,5,0.1236,1
19:15,5,0.1236,1
19:30,5,0.1236,1
19:45,5,0.1236,1
20:00,5,0.1236,1
20:15,5,0.1236,1
20:30,5,0.1236,1
20:45,5,0.1236,1
21:00,5,0.1236,1
21:15,5,0.1236,1
21:30,5,0.1236,1
21:45,5,0.1236,1
22:00,5,0.1236,1
22:15,5,0.1236,1
22:30,5,0.1236,1
22:45,5,0.1236,1
23:00,5,0.1236,1
23:15,5,0.1236,1
23:30,5,0.1236,1
23:45,5,0.1236,1
