Hora,piPTras@,piQMtras@,piQmtras@
00:00,1,100,100
00:15,1,100,100
00:30,1,100,100
00:45,1,100,100
01:00,1,100,100
01:15,1,100,100
01:30,1,100,100
01:45,1,100,100
02:00,1,100,100
02:15,1,100,100
02:30,1,100,100
02:45,1,100,100
03:00,1,100,100
03:15,1,100,100
03:30,1,100,100
03:45,1,100,100
04:00,1,100,100
04:15,1,100,100
04:30,1,100,100
04:45,1,100,100
05:00,1,100,100
05:15,1,100,100
05:30,1,100,100
05:45,1,100,100
06:00,1,100,100
06:15,1,100,100
06:30,1,100,100
06:45,1,100,100
07:00,1,100,100
07:15,1,100,100
07:30,1,100,100
07:45,1,100,100
08:00,1,100,100
08:15,1,100,100
08:30,1,100,100
08:45,1,100,100
09:00,1,100,100
09:15,1,100,100
09:30,1,100,100
09:45,1,100,100
10:00,1,100,100
10:15,1,100,100
10:30,1,100,100
10:45,1,100,100
11:00,1,100,100
11:15,1,100,100
11:30,1,100,100
11:45,1,100,100
12:00,1,100,100
12:15,1,100,100
12:30,1,100,100
12:45,1,100,100
13:00,1,100,100
13:15,1,100,100
13:30,1,100,100
13:45,1,100,100
14:00,1,100,100
14:15,1,100,100
14:30,1,100,100
14:45,1,100,100
15:00,1,100,100
15:15,1,100,100
15:30,1,100,100
15:45,1,100,100
16:00,1,100,100
16:15,1,100,100
16:30,1,100,100
16:45,1,100,100
17:00,1,100,100
17:15,1,100,100
17:30,1,100,100
17:45,1,100,100
18:00,1,100,100
18:15,1,100,100
18:30,1,100,100
18:45,1,100,100
19:00,1.5,100,100
19:15,1.5,100,100
19:30,1.5,100,100
19:45,1.5,100,100
20:00,1.5,100,100
20:15,1.5,100,100
20:30,1.5,100,100
20:45,1.5,100,100
21:00,1.5,100,100
21:15,1.5,100,100
21:30,1.5,100,100
21:45,1.5,100,100
22:00,1.5,100,100
22:15,1.5,100,100
22:30,1.5,100,100
22:45,1.5,100,100
23:00,1,100,100
23:15,1,100,100
23:30,1,100,100
23:45,1,100,100
