Hora,piPTras@,piQMtras@,piQmtras@
00:00,1,1,1
00:15,1,1,1
00:30,1,1,1
00:45,1,1,1
01:00,1,1,1
01:15,1,1,1
01:30,1,1,1
01:45,1,1,1
02:00,1,1,1
02:15,1,1,1
02:30,1,1,1
02:45,1,1,1
03:00,1,1,1
03:15,1,1,1
03:30,1,1,1
03:45,1,1,1
04:00,1,1,1
04:15,1,1,1
04:30,1,1,1
04:45,1,1,1
05:00,1,1,1
05:15,1,1,1
05:30,1,1,1
05:45,1,1,1
06:00,1,1,1
06:15,1,1,1
06:30,1,1,1
06:45,1,1,1
07:00,1,1,1
07:15,1,1,1
07:30,1,1,1
07:45,1,1,1
08:00,1,1,1
08:15,1,1,1
08:30,1,1,1
08:45,1,1,1
09:00,1,1,1
09:15,1,1,1
09:30,1,1,1
09:45,1,1,1
10:00,1,1,1
10:15,1,1,1
10:30,1,1,1
10:45,1,1,1
11:00,1,1,1
11:15,1,1,1
11:30,1,1,1
11:45,1,1,1
12:00,1,1,1
12:15,1,1,1
12:30,1,1,1
12:45,1,1,1
13:00,1,1,1
13:15,1,1,1
13:30,1,1,1
13:45,1,1,1
14:00,1,1,1
14:15,1,1,1
14:30,1,1,1
14:45,1,1,1
15:00,1,1,1
15:15,1,1,1
15:30,1,1,1
15:45,1,1,1
16:00,1,1,1
16:15,1,1,1
16:30,1,1,1
16:45,1,1,1
17:00,1,1,1
17:15,1,1,1
17:30,1,1,1
17:45,1,1,1
18:00,1,1,1
18:15,1,1,1
18:30,1,1,1
18:45,1,1,1
19:00,5,5,5
19:15,5,5,5
19:30,5,5,5
19:45,5,5,5
20:00,5,5,5
20:15,5,5,5
20:30,5,5,5
20:45,5,5,5
21:00,5,5,5
21:15,5,5,5
21:30,5,5,5
21:45,5,5,5
22:00,5,5,5
22:15,5,5,5
22:30,5,5,5
22:45,5,5,5
23:00,1,1,1
23:15,1,1,1
23:30,1,1,1
23:45,1,1,1
00:00,1,1,1
00:15,1,1,1
00:30,1,1,1
00:45,1,1,1
01:00,1,1,1
01:15,1,1,1
01:30,1,1,1
01:45,1,1,1
02:00,1,1,1
02:15,1,1,1
02:30,1,1,1
02:45,1,1,1
03:00,1,1,1
03:15,1,1,1
03:30,1,1,1
03:45,1,1,1
04:00,1,1,1
04:15,1,1,1
04:30,1,1,1
04:45,1,1,1
05:00,1,1,1
05:15,1,1,1
05:30,1,1,1
05:45,1,1,1
06:00,1,1,1
06:15,1,1,1
06:30,1,1,1
06:45,1,1,1
07:00,1,1,1
07:15,1,1,1
07:30,1,1,1
07:45,1,1,1
08:00,1,1,1
08:15,1,1,1
08:30,1,1,1
08:45,1,1,1
09:00,1,1,1
09:15,1,1,1
09:30,1,1,1
09:45,1,1,1
10:00,1,1,1
10:15,1,1,1
10:30,1,1,1
10:45,1,1,1
11:00,1,1,1
11:15,1,1,1
11:30,1,1,1
11:45,1,1,1
12:00,1,1,1
12:15,1,1,1
12:30,1,1,1
12:45,1,1,1
13:00,1,1,1
13:15,1,1,1
13:30,1,1,1
13:45,1,1,1
14:00,1,1,1
14:15,1,1,1
14:30,1,1,1
14:45,1,1,1
15:00,1,1,1
15:15,1,1,1
15:30,1,1,1
15:45,1,1,1
16:00,1,1,1
16:15,1,1,1
16:30,1,1,1
16:45,1,1,1
17:00,1,1,1
17:15,1,1,1
17:30,1,1,1
17:45,1,1,1
18:00,1,1,1
18:15,1,1,1
18:30,1,1,1
18:45,1,1,1
19:00,5,5,5
19:15,5,5,5
19:30,5,5,5
19:45,5,5,5
20:00,5,5,5
20:15,5,5,5
20:30,5,5,5
20:45,5,5,5
21:00,5,5,5
21:15,5,5,5
21:30,5,5,5
21:45,5,5,5
22:00,5,5,5
22:15,5,5,5
22:30,5,5,5
22:45,5,5,5
23:00,1,1,1
23:15,1,1,1
23:30,1,1,1
23:45,1,1,1
