Hora,piPTras@,piQMtras@,piQmtras@
00:00,1,.75,.75
00:15,1,.75,.75
00:30,1,.75,.75
00:45,1,.75,.75
01:00,1,.75,.75
01:15,1,.75,.75
01:30,1,.75,.75
01:45,1,.75,.75
02:00,1,.75,.75
02:15,1,.75,.75
02:30,1,.75,.75
02:45,1,.75,.75
03:00,1,.75,.75
03:15,1,.75,.75
03:30,1,.75,.75
03:45,1,.75,.75
04:00,1,.75,.75
04:15,1,.75,.75
04:30,1,.75,.75
04:45,1,.75,.75
05:00,1,.75,.75
05:15,1,.75,.75
05:30,1,.75,.75
05:45,1,.75,.75
06:00,1,.75,.75
06:15,1,.75,.75
06:30,1,.75,.75
06:45,1,.75,.75
07:00,1,.75,.75
07:15,1,.75,.75
07:30,1,.75,.75
07:45,1,.75,.75
08:00,1,.75,.75
08:15,1,.75,.75
08:30,1,.75,.75
08:45,1,.75,.75
09:00,1,.75,.75
09:15,1,.75,.75
09:30,1,.75,.75
09:45,1,.75,.75
10:00,1,.75,.75
10:15,1,.75,.75
10:30,1,.75,.75
10:45,1,.75,.75
11:00,1,.75,.75
11:15,1,.75,.75
11:30,1,.75,.75
11:45,1,.75,.75
12:00,1,.75,.75
12:15,1,.75,.75
12:30,1,.75,.75
12:45,1,.75,.75
13:00,1,.75,.75
13:15,1,.75,.75
13:30,1,.75,.75
13:45,1,.75,.75
14:00,1,.75,.75
14:15,1,.75,.75
14:30,1,.75,.75
14:45,1,.75,.75
15:00,1,.75,.75
15:15,1,.75,.75
15:30,1,.75,.75
15:45,1,.75,.75
16:00,1,.75,.75
16:15,1,.75,.75
16:30,1,.75,.75
16:45,1,.75,.75
17:00,1,.75,.75
17:15,1,.75,.75
17:30,1,.75,.75
17:45,1,.75,.75
18:00,1,.75,.75
18:15,1,.75,.75
18:30,1,.75,.75
18:45,1,.75,.75
19:00,5,3.75,3.75
19:15,5,3.75,3.75
19:30,5,3.75,3.75
19:45,5,3.75,3.75
20:00,5,3.75,3.75
20:15,5,3.75,3.75
20:30,5,3.75,3.75
20:45,5,3.75,3.75
21:00,5,3.75,3.75
21:15,5,3.75,3.75
21:30,5,3.75,3.75
21:45,5,3.75,3.75
22:00,5,3.75,3.75
22:15,5,3.75,3.75
22:30,5,3.75,3.75
22:45,5,3.75,3.75
23:00,1,0.75,0.75
23:15,1,0.75,0.75
23:30,1,0.75,0.75
23:45,1,0.75,0.75
00:00,1,0.75,0.75
00:15,1,0.75,0.75
00:30,1,0.75,0.75
00:45,1,0.75,0.75
01:00,1,0.75,0.75
01:15,1,0.75,0.75
01:30,1,0.75,0.75
01:45,1,0.75,0.75
02:00,1,0.75,0.75
02:15,1,0.75,0.75
02:30,1,0.75,0.75
02:45,1,0.75,0.75
03:00,1,0.75,0.75
03:15,1,0.75,0.75
03:30,1,0.75,0.75
03:45,1,0.75,0.75
04:00,1,0.75,0.75
04:15,1,0.75,0.75
04:30,1,0.75,0.75
04:45,1,0.75,0.75
05:00,1,0.75,0.75
05:15,1,0.75,0.75
05:30,1,0.75,0.75
05:45,1,0.75,0.75
06:00,1,0.75,0.75
06:15,1,0.75,0.75
06:30,1,0.75,0.75
06:45,1,0.75,0.75
07:00,1,0.75,0.75
07:15,1,0.75,0.75
07:30,1,0.75,0.75
07:45,1,0.75,0.75
08:00,1,0.75,0.75
08:15,1,0.75,0.75
08:30,1,0.75,0.75
08:45,1,0.75,0.75
09:00,1,0.75,0.75
09:15,1,0.75,0.75
09:30,1,0.75,0.75
09:45,1,0.75,0.75
10:00,1,0.75,0.75
10:15,1,0.75,0.75
10:30,1,0.75,0.75
10:45,1,0.75,0.75
11:00,1,0.75,0.75
11:15,1,0.75,0.75
11:30,1,0.75,0.75
11:45,1,0.75,0.75
12:00,1,0.75,0.75
12:15,1,0.75,0.75
12:30,1,0.75,0.75
12:45,1,0.75,0.75
13:00,1,0.75,0.75
13:15,1,0.75,0.75
13:30,1,0.75,0.75
13:45,1,0.75,0.75
14:00,1,0.75,0.75
14:15,1,0.75,0.75
14:30,1,0.75,0.75
14:45,1,0.75,0.75
15:00,1,0.75,0.75
15:15,1,0.75,0.75
15:30,1,0.75,0.75
15:45,1,0.75,0.75
16:00,1,0.75,0.75
16:15,1,0.75,0.75
16:30,1,0.75,0.75
16:45,1,0.75,0.75
17:00,1,0.75,0.75
17:15,1,0.75,0.75
17:30,1,0.75,0.75
17:45,1,0.75,0.75
18:00,1,0.75,0.75
18:15,1,0.75,0.75
18:30,1,0.75,0.75
18:45,1,0.75,0.75
19:00,5,3.75,3.75
19:15,5,3.75,3.75
19:30,5,3.75,3.75
19:45,5,3.75,3.75
20:00,5,3.75,3.75
20:15,5,3.75,3.75
20:30,5,3.75,3.75
20:45,5,3.75,3.75
21:00,5,3.75,3.75
21:15,5,3.75,3.75
21:30,5,3.75,3.75
21:45,5,3.75,3.75
22:00,5,3.75,3.75
22:15,5,3.75,3.75
22:30,5,3.75,3.75
22:45,5,3.75,3.75
23:00,1,0.75,0.75
23:15,1,0.75,0.75
23:30,1,0.75,0.75
23:45,1,0.75,0.75
