Hora,piPTras@,piQMtras@,piQmtras@
00:00,0.1,0.15,0.15
00:15,0.1,0.15,0.15
00:30,0.1,0.15,0.15
00:45,0.1,0.15,0.15
01:00,0.1,0.15,0.15
01:15,0.1,0.15,0.15
01:30,0.1,0.15,0.15
01:45,0.1,0.15,0.15
02:00,0.1,0.15,0.15
02:15,0.1,0.15,0.15
02:30,0.1,0.15,0.15
02:45,0.1,0.15,0.15
03:00,0.1,0.15,0.15
03:15,0.1,0.15,0.15
03:30,0.1,0.15,0.15
03:45,0.1,0.15,0.15
04:00,0.1,0.15,0.15
04:15,0.1,0.15,0.15
04:30,0.1,0.15,0.15
04:45,0.1,0.15,0.15
05:00,0.1,0.15,0.15
05:15,0.1,0.15,0.15
05:30,0.1,0.15,0.15
05:45,0.1,0.15,0.15
06:00,0.1,0.15,0.15
06:15,0.1,0.15,0.15
06:30,0.1,0.15,0.15
06:45,0.1,0.15,0.15
07:00,0.1,0.15,0.15
07:15,0.1,0.15,0.15
07:30,0.1,0.15,0.15
07:45,0.1,0.15,0.15
08:00,0.1,0.15,0.15
08:15,0.1,0.15,0.15
08:30,0.1,0.15,0.15
08:45,0.1,0.15,0.15
09:00,0.1,0.15,0.15
09:15,0.1,0.15,0.15
09:30,0.1,0.15,0.15
09:45,0.1,0.15,0.15
10:00,0.1,0.15,0.15
10:15,0.1,0.15,0.15
10:30,0.1,0.15,0.15
10:45,0.1,0.15,0.15
11:00,0.1,0.15,0.15
11:15,0.1,0.15,0.15
11:30,0.1,0.15,0.15
11:45,0.1,0.15,0.15
12:00,0.1,0.15,0.15
12:15,0.1,0.15,0.15
12:30,0.1,0.15,0.15
12:45,0.1,0.15,0.15
13:00,0.1,0.15,0.15
13:15,0.1,0.15,0.15
13:30,0.1,0.15,0.15
13:45,0.1,0.15,0.15
14:00,0.1,0.15,0.15
14:15,0.1,0.15,0.15
14:30,0.1,0.15,0.15
14:45,0.1,0.15,0.15
15:00,0.1,0.15,0.15
15:15,0.1,0.15,0.15
15:30,0.1,0.15,0.15
15:45,0.1,0.15,0.15
16:00,0.1,0.15,0.15
16:15,0.1,0.15,0.15
16:30,0.1,0.15,0.15
16:45,0.1,0.15,0.15
17:00,0.1,0.15,0.15
17:15,0.1,0.15,0.15
17:30,0.1,0.15,0.15
17:45,0.1,0.15,0.15
18:00,0.1,0.15,0.15
18:15,0.1,0.15,0.15
18:30,0.1,0.15,0.15
18:45,0.1,0.15,0.15
19:00,0.11,0.165,0.165
19:15,0.11,0.165,0.165
19:30,0.11,0.165,0.165
19:45,0.11,0.165,0.165
20:00,0.11,0.165,0.165
20:15,0.11,0.165,0.165
20:30,0.11,0.165,0.165
20:45,0.11,0.165,0.165
21:00,0.11,0.165,0.165
21:15,0.11,0.165,0.165
21:30,0.11,0.165,0.165
21:45,0.11,0.165,0.165
22:00,0.11,0.165,0.165
22:15,0.11,0.165,0.165
22:30,0.11,0.165,0.165
22:45,0.11,0.165,0.165
23:00,0.1,0.15,0.15
23:15,0.1,0.15,0.15
23:30,0.1,0.15,0.15
23:45,0.1,0.15,0.15
