Hora,P_mec@,n_@
00:00,0.2364,-0.08
00:15,0.2399,-0.08
00:30,0.2243,-0.08
00:45,0.1888,-0.08
01:00,0.2035,-0.08
01:15,0.1797,-0.08
01:30,0.1639,-0.08
01:45,0.1729,-0.08
02:00,0.1636,-0.08
02:15,0.1814,-0.08
02:30,0.2063,-0.08
02:45,0.2152,-0.08
03:00,0.2125,-0.08
03:15,0.1974,-0.08
03:30,0.1842,-0.08
03:45,0.1634,-0.08
04:00,0.1815,-0.08
04:15,0.1659,-0.08
04:30,0.138,-0.08
04:45,0.1679,-0.08
05:00,0.1842,-0.08
05:15,0.2203,-0.08
05:30,0.1978,-0.08
05:45,0.2184,-0.08
06:00,0.1573,-0.08
06:15,0.1657,-0.08
06:30,0.1778,-0.08
06:45,0.1801,-0.08
07:00,0.1679,-0.08
07:15,0.167,-0.08
07:30,0.1386,-0.08
07:45,0.1541,-0.08
08:00,0.1763,-0.08
08:15,0.173,-0.08
08:30,0.1778,-0.08
08:45,0.1668,-0.08
09:00,0.1583,-0.08
09:15,0.1253,-0.08
09:30,0.1072,0.1327
09:45,0.108,0.1304
10:00,0.1018,0.1473
10:15,0.0902,0.1809
10:30,0.0688,0.2519
10:45,0.057,0.2973
11:00,0.0386,0.383
11:15,0.0366,0.3935
11:30,0.0346,0.4049
11:45,0.0349,0.4031
12:00,0.0323,0.4185
12:15,0.0262,0.4574
12:30,0.026,0.4591
12:45,0,0
13:00,0,0
13:15,0,0
13:30,0,0
13:45,0,0
14:00,0,0
14:15,0,0
14:30,0,0
14:45,0.0209,0.4967
15:00,0.0311,0.4259
15:15,0.0258,0.4606
15:30,0.0239,0.4741
15:45,0.0456,0.3478
16:00,0.0438,0.3562
16:15,0.0322,0.4189
16:30,0.0249,0.4666
16:45,0.0237,0.4754
17:00,0.0289,0.4397
17:15,0.0292,0.4377
17:30,0.0379,0.3866
17:45,0.0443,0.3541
18:00,0.0595,0.287
18:15,0.0725,0.2387
18:30,0.0801,0.213
18:45,0.0904,0.1805
19:00,0.0898,0.1821
19:15,0.1171,0.1067
19:30,0.1241,-0.08
19:45,0.1253,-0.08
20:00,0.1145,0.1132
20:15,0.1028,0.1446
20:30,0.1419,-0.08
20:45,0.1712,-0.08
21:00,0.1059,0.1361
21:15,0.0646,0.2673
21:30,0.0493,0.3304
21:45,0.0513,0.3214
22:00,0.0913,0.1779
22:15,0.0966,0.1622
22:30,0.1049,0.1389
22:45,0.0983,0.1572
23:00,0.0891,0.1843
23:15,0.1266,-0.08
23:30,0.0685,0.2529
23:45,0.0799,0.2136
