Hora,P_mec@,n_@
00:00,1.8912,-0.08
00:15,1.9195,-0.08
00:30,1.794,-0.08
00:45,1.5107,-0.08
01:00,1.6277,-0.08
01:15,1.4378,-0.08
01:30,1.3116,-0.08
01:45,1.3833,-0.08
02:00,1.3087,-0.08
02:15,1.4513,-0.08
02:30,1.6504,-0.08
02:45,1.7214,-0.08
03:00,1.6998,-0.08
03:15,1.5791,-0.08
03:30,1.4736,-0.08
03:45,1.3071,-0.08
04:00,1.4524,-0.08
04:15,1.3275,-0.08
04:30,1.1039,-0.08
04:45,1.3434,-0.08
05:00,1.4736,-0.08
05:15,1.7623,-0.08
05:30,1.5828,-0.08
05:45,1.7469,-0.08
06:00,1.2582,-0.08
06:15,1.3259,-0.08
06:30,1.4223,-0.08
06:45,1.4406,-0.08
07:00,1.3431,-0.08
07:15,1.3364,-0.08
07:30,1.1091,-0.08
07:45,1.2326,-0.08
08:00,1.4104,-0.08
08:15,1.384,-0.08
08:30,1.4223,-0.08
08:45,1.3344,-0.08
09:00,1.2666,-0.08
09:15,1.0021,-0.08
09:30,0.8572,0.1327
09:45,0.864,0.1304
10:00,0.8147,0.1473
10:15,0.7219,0.1809
10:30,0.5501,0.2519
10:45,0.456,0.2973
11:00,0.3085,0.383
11:15,0.2932,0.3935
11:30,0.2769,0.4049
11:45,0.2794,0.4031
12:00,0.2584,0.4185
12:15,0.2098,0.4574
12:30,0.2079,0.4591
12:45,0,0
13:00,0,0
13:15,0,0
13:30,0,0
13:45,0,0
14:00,0,0
14:15,0,0
14:30,0,0
14:45,0.1675,0.4967
15:00,0.2486,0.4259
15:15,0.2062,0.4606
15:30,0.1911,0.4741
15:45,0.3645,0.3478
16:00,0.3505,0.3562
16:15,0.2578,0.4189
16:30,0.1994,0.4666
16:45,0.1897,0.4754
17:00,0.2311,0.4397
17:15,0.2336,0.4377
17:30,0.3032,0.3866
17:45,0.3541,0.3541
18:00,0.4763,0.287
18:15,0.5798,0.2387
18:30,0.6405,0.213
18:45,0.7231,0.1805
19:00,0.7187,0.1821
19:15,0.9364,0.1067
19:30,0.9929,-0.08
19:45,1.0026,-0.08
20:00,0.9163,0.1132
20:15,0.8224,0.1446
20:30,1.1348,-0.08
20:45,1.3692,-0.08
21:00,0.8472,0.1361
21:15,0.5169,0.2673
21:30,0.3945,0.3304
21:45,0.4105,0.3214
22:00,0.7301,0.1779
22:15,0.7727,0.1622
22:30,0.8389,0.1389
22:45,0.7865,0.1572
23:00,0.7131,0.1843
23:15,1.0124,-0.08
23:30,0.5479,0.2529
23:45,0.639,0.2136
