Hora,betaE@
00:00,2
00:15,2
00:30,2
00:45,2
01:00,2
01:15,2
01:30,2
01:45,2
02:00,2
02:15,2
02:30,2
02:45,2
03:00,2
03:15,2
03:30,2
03:45,2
04:00,2
04:15,2
04:30,2
04:45,2
05:00,2
05:15,2
05:30,2
05:45,2
06:00,2
06:15,2
06:30,2
06:45,2
07:00,0.25
07:15,0.25
07:30,0.25
07:45,0.25
08:00,0.25
08:15,0.25
08:30,0.25
08:45,0.25
09:00,0.25
09:15,0.25
09:30,0.25
09:45,0.25
10:00,0.25
10:15,0.25
10:30,0.25
10:45,0.25
11:00,0.25
11:15,0.25
11:30,0.25
11:45,0.25
12:00,0.25
12:15,0.25
12:30,0.25
12:45,0.25
13:00,0.25
13:15,0.25
13:30,0.25
13:45,0.25
14:00,0.25
14:15,0.25
14:30,0.25
14:45,0.25
15:00,0.25
15:15,0.25
15:30,0.25
15:45,0.25
16:00,0.25
16:15,0.25
16:30,0.25
16:45,0.25
17:00,0.25
17:15,0.25
17:30,0.25
17:45,0.25
18:00,0.25
18:15,0.25
18:30,0.25
18:45,0.25
19:00,0.25
19:15,0.25
19:30,0.25
19:45,0.25
20:00,0.25
20:15,0.25
20:30,0.25
20:45,0.25
21:00,0.25
21:15,0.25
21:30,0.25
21:45,0.25
22:00,0.25
22:15,0.25
22:30,0.25
22:45,0.25
23:00,2
23:15,2
23:30,2
23:45,2
